"Action","Action"
"Add Our Team","Add Our Team"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find our team to delete.","Could not find our team to delete."
"Delete Our Team","Delete Our Team"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Our Team '%s'","Edit Our Team '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image","Image"
"Name","Name"
"No","No"
"None","None"
"Our Team was successfully deleted.","Our Team was successfully deleted."
"Our Team was successfully saved","Our Team was successfully saved"
"Our Team","Our Team"
"Please select our team to delete.","Please select our team to delete."
"Please select our team.","Please select our team."
"Save And Continue Edit","Save And Continue Edit"
"Save Our Team","Save Our Team"
"Short Description","Short Description"
"Status","Status"
"Store views","Store views"
"There was a problem saving the our team.","There was a problem saving the our team."
"There was an error deleteing our team.","There was an error deleteing our team."
"There was an error updating our team.","There was an error updating our team."
"This our team no longer exists.","This our team no longer exists."
"Total of %d our team were successfully deleted.","Total of %d our team were successfully deleted."
"Total of %d our team were successfully updated.","Total of %d our team were successfully updated."
"Unable to find our team to save.","Unable to find our team to save."
"XML","XML"
"Yes","Yes"